,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,105,9,5,7,1,51,5,10
MCI,149,72,25,14,11,60,27,163
AD,7,14,14,-,6,25,19,112
Unknown,49,5,1,3,3,22,4,16
