,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,105,30,2,-,4,71,1,53
MCI,107,44,5,2,24,106,1,242
AD,8,10,1,-,12,23,-,166
Unknown,-,-,-,-,-,-,-,-
