,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,75,8,1,10,5,80,3,11
MCI,128,67,17,14,16,120,10,149
AD,9,7,2,1,15,82,9,72
Unknown,34,3,-,9,1,39,1,16
