,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,120,16,5,-,1,88,1,35
MCI,127,26,6,-,10,165,9,188
AD,9,7,3,-,7,52,6,136
Unknown,-,-,-,-,-,-,-,-
