,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,117,12,9,18,6,57,8,10
MCI,5,2,1,1,2,7,6,16
AD,6,7,1,3,14,36,25,62
Unknown,16,2,2,2,6,23,8,16
