,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
CU,503,121,28,2,21,276,7,269
MCI,-,-,-,-,-,-,-,-
AD,-,-,-,-,1,1,-,7
Unknown,-,-,-,-,-,-,-,1
