,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,282.0,124.0,15.0,0.0,17.0,200.0,8.0,371.0
EPAD,771.0,95.0,0.0,81.0,57.0,161.0,0.0,72.0
NACC,165.0,32.0,20.0,21.0,18.0,89.0,57.0,104.0
EMIF,329.0,183.0,47.0,55.0,17.0,116.0,23.0,244.0
JADNI,59.0,21.0,8.0,0.0,11.0,14.0,5.0,79.0
