,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,300.0,175.0,0.0,21.0,67.0,136.0,0.0,318.0
EPAD,639.0,224.0,84.0,0.0,4.0,119.0,13.0,154.0
NACC,177.0,33.0,29.0,22.0,16.0,70.0,58.0,101.0
EMIF,177.0,112.0,36.0,40.0,28.0,174.0,41.0,406.0
JADNI,59.0,20.0,8.0,1.0,13.0,14.0,5.0,77.0
