,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,154.0,0.0,23.0,69.0,146.0,0.0,337.0
EPAD,676.0,250.0,90.0,0.0,3.0,82.0,9.0,127.0
NACC,174.0,42.0,33.0,15.0,7.0,63.0,69.0,103.0
EMIF,260.0,90.0,93.0,28.0,15.0,164.0,99.0,265.0
JADNI,60.0,16.0,9.0,0.0,10.0,17.0,5.0,80.0
