,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,322.0,236.0,0.0,27.0,61.0,114.0,0.0,257.0
EPAD,692.0,176.0,79.0,0.0,3.0,139.0,22.0,126.0
NACC,214.0,26.0,9.0,28.0,26.0,89.0,34.0,80.0
EMIF,217.0,73.0,51.0,27.0,15.0,208.0,72.0,351.0
JADNI,60.0,22.0,7.0,0.0,11.0,13.0,5.0,79.0
