,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,300.0,186.0,1.0,14.0,52.0,133.0,0.0,331.0
EPAD,638.0,220.0,85.0,0.0,4.0,120.0,13.0,157.0
NACC,186.0,36.0,26.0,13.0,15.0,75.0,59.0,96.0
EMIF,246.0,130.0,36.0,67.0,42.0,151.0,27.0,315.0
JADNI,58.0,22.0,8.0,0.0,10.0,14.0,5.0,80.0
