,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,124.0,0.0,15.0,66.0,170.0,0.0,369.0
EPAD,676.0,248.0,90.0,0.0,4.0,82.0,8.0,129.0
NACC,182.0,58.0,25.0,26.0,9.0,55.0,43.0,108.0
EMIF,341.0,136.0,17.0,85.0,67.0,148.0,9.0,211.0
JADNI,61.0,28.0,8.0,0.0,11.0,12.0,5.0,72.0
