,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,283.0,147.0,35.0,0.0,7.0,166.0,20.0,359.0
EPAD,844.0,188.0,32.0,9.0,0.0,95.0,5.0,64.0
NACC,157.0,58.0,21.0,32.0,12.0,59.0,47.0,120.0
EMIF,281.0,113.0,47.0,39.0,22.0,173.0,57.0,282.0
JADNI,59.0,21.0,7.0,1.0,13.0,14.0,5.0,77.0
