,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,289.0,155.0,0.0,21.0,67.0,147.0,0.0,338.0
EPAD,731.0,197.0,88.0,0.0,3.0,98.0,15.0,105.0
NACC,191.0,40.0,25.0,24.0,17.0,65.0,51.0,93.0
EMIF,312.0,125.0,116.0,18.0,6.0,133.0,78.0,226.0
JADNI,45.0,19.0,25.0,0.0,3.0,13.0,8.0,84.0
