,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,253.0,94.0,0.0,15.0,75.0,181.0,0.0,399.0
EPAD,883.0,208.0,35.0,8.0,0.0,57.0,2.0,44.0
NACC,163.0,53.0,17.0,42.0,21.0,58.0,43.0,109.0
EMIF,288.0,187.0,63.0,40.0,14.0,125.0,31.0,266.0
JADNI,60.0,22.0,7.0,0.0,11.0,13.0,5.0,79.0
