,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,314.0,170.0,17.0,0.0,17.0,168.0,6.0,325.0
EPAD,847.0,85.0,11.0,4.0,7.0,210.0,3.0,70.0
NACC,181.0,38.0,34.0,11.0,7.0,66.0,69.0,100.0
EMIF,208.0,101.0,48.0,31.0,13.0,192.0,51.0,370.0
JADNI,44.0,17.0,22.0,0.0,5.0,13.0,7.0,89.0
