,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,288.0,153.0,0.0,22.0,68.0,148.0,0.0,338.0
EPAD,938.0,116.0,9.0,9.0,6.0,117.0,2.0,40.0
NACC,176.0,44.0,20.0,36.0,14.0,66.0,38.0,112.0
EMIF,221.0,178.0,62.0,36.0,19.0,122.0,44.0,332.0
JADNI,59.0,21.0,8.0,0.0,11.0,14.0,5.0,79.0
