,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,299.0,175.0,0.0,22.0,68.0,135.0,0.0,318.0
EPAD,845.0,188.0,32.0,8.0,0.0,95.0,5.0,64.0
NACC,187.0,36.0,29.0,24.0,15.0,67.0,52.0,96.0
EMIF,342.0,144.0,88.0,27.0,11.0,124.0,62.0,216.0
JADNI,59.0,23.0,6.0,1.0,14.0,10.0,5.0,79.0
