,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,262.0,90.0,10.0,0.0,21.0,216.0,7.0,411.0
EPAD,676.0,250.0,90.0,0.0,3.0,82.0,9.0,127.0
NACC,147.0,40.0,31.0,20.0,9.0,81.0,61.0,117.0
EMIF,268.0,158.0,60.0,39.0,15.0,145.0,35.0,294.0
JADNI,48.0,1.0,9.0,0.0,4.0,35.0,13.0,87.0
