,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,280.0,123.0,11.0,0.0,21.0,198.0,6.0,378.0
EPAD,639.0,223.0,85.0,0.0,4.0,119.0,13.0,154.0
NACC,176.0,49.0,26.0,18.0,9.0,62.0,52.0,114.0
EMIF,339.0,180.0,49.0,54.0,22.0,113.0,26.0,231.0
JADNI,56.0,22.0,11.0,0.0,10.0,12.0,6.0,80.0
