,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,108.0,0.0,30.0,92.0,170.0,0.0,351.0
EPAD,732.0,197.0,87.0,0.0,3.0,98.0,15.0,105.0
NACC,172.0,42.0,34.0,17.0,8.0,62.0,62.0,109.0
EMIF,271.0,129.0,45.0,35.0,19.0,168.0,36.0,311.0
JADNI,47.0,2.0,8.0,0.0,5.0,35.0,10.0,90.0
