,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,261.0,197.0,38.0,0.0,4.0,118.0,17.0,382.0
EPAD,848.0,85.0,9.0,4.0,8.0,210.0,3.0,70.0
NACC,174.0,33.0,28.0,24.0,15.0,78.0,55.0,99.0
EMIF,237.0,137.0,83.0,23.0,9.0,149.0,58.0,318.0
JADNI,61.0,19.0,9.0,0.0,10.0,16.0,5.0,77.0
