,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,121.0,0.0,18.0,71.0,169.0,0.0,373.0
EPAD,639.0,223.0,85.0,0.0,3.0,119.0,14.0,154.0
NACC,157.0,48.0,20.0,18.0,12.0,73.0,55.0,123.0
EMIF,257.0,89.0,113.0,20.0,12.0,150.0,112.0,261.0
JADNI,58.0,23.0,6.0,2.0,15.0,9.0,5.0,79.0
