,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,254.0,118.0,33.0,0.0,6.0,178.0,27.0,401.0
EPAD,764.0,45.0,0.0,203.0,108.0,93.0,0.0,24.0
NACC,155.0,49.0,47.0,12.0,7.0,58.0,67.0,111.0
EMIF,325.0,94.0,60.0,27.0,13.0,185.0,62.0,248.0
JADNI,60.0,13.0,16.0,0.0,1.0,23.0,13.0,71.0
