,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,232.0,196.0,48.0,0.0,2.0,106.0,19.0,414.0
EPAD,941.0,116.0,9.0,7.0,6.0,116.0,2.0,40.0
NACC,192.0,58.0,28.0,20.0,9.0,52.0,45.0,102.0
EMIF,253.0,130.0,35.0,53.0,23.0,167.0,35.0,318.0
JADNI,56.0,21.0,12.0,0.0,10.0,12.0,6.0,80.0
