,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,272.0,130.0,0.0,19.0,71.0,164.0,0.0,361.0
EPAD,691.0,176.0,80.0,0.0,3.0,139.0,21.0,127.0
NACC,174.0,56.0,27.0,23.0,9.0,54.0,53.0,110.0
EMIF,231.0,82.0,159.0,7.0,6.0,139.0,143.0,247.0
JADNI,61.0,16.0,12.0,0.0,5.0,21.0,6.0,76.0
