,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,224.0,110.0,31.0,0.0,7.0,166.0,15.0,464.0
EPAD,698.0,284.0,91.0,0.0,3.0,60.0,8.0,93.0
NACC,187.0,31.0,27.0,17.0,15.0,73.0,58.0,98.0
EMIF,271.0,114.0,81.0,22.0,15.0,159.0,72.0,280.0
JADNI,44.0,24.0,20.0,0.0,8.0,9.0,7.0,85.0
