,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,126.0,0.0,23.0,81.0,155.0,0.0,367.0
EPAD,728.0,330.0,95.0,2.0,1.0,31.0,3.0,47.0
NACC,209.0,28.0,7.0,35.0,25.0,85.0,34.0,83.0
EMIF,337.0,151.0,78.0,24.0,9.0,127.0,57.0,231.0
JADNI,58.0,23.0,6.0,2.0,15.0,9.0,5.0,79.0
