,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,310.0,134.0,2.0,19.0,54.0,181.0,0.0,317.0
EPAD,724.0,94.0,0.0,128.0,86.0,132.0,0.0,73.0
NACC,188.0,51.0,26.0,22.0,18.0,62.0,44.0,95.0
EMIF,298.0,95.0,69.0,35.0,23.0,172.0,77.0,245.0
JADNI,61.0,19.0,9.0,0.0,10.0,16.0,5.0,77.0
