,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,291.0,162.0,0.0,23.0,67.0,139.0,0.0,335.0
EPAD,817.0,105.0,0.0,93.0,46.0,114.0,0.0,62.0
NACC,188.0,37.0,30.0,16.0,17.0,68.0,60.0,90.0
EMIF,299.0,146.0,34.0,55.0,22.0,149.0,26.0,283.0
JADNI,50.0,5.0,7.0,0.0,7.0,30.0,8.0,90.0
