,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,286.0,154.0,0.0,23.0,71.0,144.0,0.0,339.0
EPAD,845.0,188.0,32.0,8.0,0.0,95.0,5.0,64.0
NACC,143.0,35.0,26.0,58.0,35.0,53.0,54.0,102.0
EMIF,200.0,71.0,45.0,26.0,18.0,224.0,70.0,360.0
JADNI,60.0,21.0,8.0,0.0,11.0,13.0,5.0,79.0
