,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,263.0,97.0,0.0,24.0,87.0,184.0,0.0,362.0
EPAD,722.0,95.0,0.0,129.0,86.0,131.0,0.0,74.0
NACC,165.0,46.0,22.0,18.0,9.0,74.0,54.0,118.0
EMIF,241.0,129.0,61.0,30.0,19.0,175.0,41.0,318.0
JADNI,61.0,18.0,10.0,0.0,7.0,19.0,5.0,77.0
