,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,257.0,115.0,1.0,11.0,55.0,176.0,0.0,402.0
EPAD,691.0,176.0,80.0,0.0,3.0,139.0,22.0,126.0
NACC,174.0,54.0,35.0,27.0,10.0,55.0,53.0,98.0
EMIF,319.0,106.0,89.0,20.0,7.0,155.0,76.0,242.0
JADNI,60.0,28.0,9.0,0.0,10.0,12.0,5.0,73.0
