,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,120.0,0.0,17.0,69.0,172.0,0.0,373.0
EPAD,638.0,221.0,85.0,0.0,3.0,120.0,14.0,156.0
NACC,198.0,33.0,15.0,19.0,19.0,88.0,45.0,89.0
EMIF,290.0,82.0,78.0,18.0,10.0,186.0,85.0,265.0
JADNI,58.0,19.0,11.0,0.0,7.0,17.0,5.0,80.0
