,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,278.0,174.0,43.0,0.0,3.0,141.0,30.0,348.0
EPAD,771.0,95.0,0.0,81.0,57.0,161.0,0.0,72.0
NACC,187.0,49.0,45.0,11.0,7.0,57.0,60.0,90.0
EMIF,292.0,198.0,68.0,43.0,17.0,112.0,30.0,254.0
JADNI,61.0,18.0,10.0,0.0,7.0,19.0,5.0,77.0
