Feature,Feature_old,CURIE,Definition,Synonyms,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB
Left Entorhinal Gray Matter Volume,Left entorhinal gray matter volume,OMIT:0028811,,,LeftEntorhinal,ST24CV,,,,,lh_(entorhinal)GrayVol,LENT,,ST24CV,,,,,,,,,,
Right Entorhinal Gray Matter Volume,Right entorhinal gray matter volume,OMIT:0028811,,,RightEntorhinal,ST83CV,,,,,rh_(entorhinal)GrayVol,RENT,,ST83CV,,,,,,,,,,
Left Fusiform Gray Matter Volume,Left fusiform gray matter volume,OMIT:0028811,,,LeftFusiform,ST26CV,,,,llfusigv,lh_(fusiform)GrayVol,LFUS,,ST26CV,,,,,,,,,,
Right Fusiform Gray Matter Volume,Right fusiform gray matter volume,OMIT:0028811,,,RightFusiform,ST85CV,,,,,rh_(fusiform)GrayVol,RFUS,,ST85CV,,,,,,,,,,
Left Middle Temporal Gray Matter Volume,Left middle temporal gray matter volume,FMA:72686,,,LeftMiddletemporal,ST40CV,,,,llsfgmv,lh_(middletemporal)GrayVol,LMIDTEMP,,ST40CV,,lh_middletemporal_volume,lh_middletemporal_volume,lh_middletemporal_volume,lh_middletemporal_volume,lh_middletemporal_volume,lh_middletemporal_volume,lh_middletemporal_volume,,
Right Middle Temporal Gray Matter Volume,Right middle temporal gray matter volume,FMA:72686,,,RightMiddletemporal,ST99CV,,,,lrsfgmv,rh_(middletemporal)GrayVol,RMIDTEMP,,ST99CV,,rh_middletemporal_volume,rh_middletemporal_volume,rh_middletemporal_volume,rh_middletemporal_volume,rh_middletemporal_volume,rh_middletemporal_volume,rh_middletemporal_volume,,
Left Cerebellum Gray Matter Volume,Left Cerebellum Gray Matter volume,FMA:83924,,,LeftCerebellarGrayMatter,ST17SV,,Left-Cerebellum-Cortex,,llcbev,(Left-Cerebellum-Cortex)Volume_mm3,,,ST17SV,,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left_Cerebellum_Cortex,
Left Cerebellum White Matter Volume,Left Cerebellum White Matter Volume,FMA:83924,,,LeftCerebellarWhiteMatter,ST18SV,,Left-Cerebellum-White-Matter,,llcbwmv,(Left-Cerebellum-White-Matter)Volume_mm3,,,ST18SV,,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left_Cerebellum_White_Matter,
Left Caudate Volume,Left Caudate Volume,FMA:72827,,,LeftCaudate,ST16SV,,Left-Caudate,,llcv,(Left-Caudate)Volume_mm3,,,ST16SV,,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left_Caudate,
Left Cortical Gray Matter Volume,Left_Cortical_Gray_Matter volume,-,,,,ST147SV,,,,,lhCortexVol,,,ST147SV,,,,,,,,,,
Right Pericalcarine Gray Matter Volume,Right Pericalcarine gray matter volume,EFO:0010322,,,,ST107CV,,,,,rh_(pericalcarine)GrayVol,RPERCAL,,ST107CV,,rh_pericalcarine_volume,rh_pericalcarine_volume,rh_pericalcarine_volume,rh_pericalcarine_volume,rh_pericalcarine_volume,rh_pericalcarine_volume,rh_pericalcarine_volume,,
Right Precentral Gray Matter Volume,Right Precentral gray matter volume,NCIT:C33393,,,,ST110CV,,,,,rh_(precentral)GrayVol,RPRECEN,,ST110CV,,rh_precentral_volume,rh_precentral_volume,rh_precentral_volume,rh_precentral_volume,rh_precentral_volume,rh_precentral_volume,rh_precentral_volume,,
Right Rostral Middle Frontal Gray Matter Volume,Right Rostral Middle Frontal gray matter volume,EFO:0010328,,,,ST114CV,,,,,rh_(rostralmiddlefrontal)GrayVol,RROSMF,,ST114CV,,rh_rostralmiddlefrontal_volume,rh_rostralmiddlefrontal_volume,rh_rostralmiddlefrontal_volume,rh_rostralmiddlefrontal_volume,rh_rostralmiddlefrontal_volume,rh_rostralmiddlefrontal_volume,rh_rostralmiddlefrontal_volume,,
Right Superior Parietal Gray Matter Volume,Right Superior Parietal gray matter volume,EFO:0010330,,,RightSuperiorparietal,ST116CV,,,,lrsupalv,rh_(superiorparietal)GrayVol,RSUPPAR,,ST116CV,,rh_superiorparietal_volume,rh_superiorparietal_volume,rh_superiorparietal_volume,rh_superiorparietal_volume,rh_superiorparietal_volume,rh_superiorparietal_volume,rh_superiorparietal_volume,,
Right Supramarginal Gray Matter Volume,Right Supramarginal gray matter volume,EFO:0010332,,,,ST118CV,,,,lrsuprgv,rh_(supramarginal)GrayVol,RSUPMAR,,ST118CV,,rh_supramarginal_volume,rh_supramarginal_volume,rh_supramarginal_volume,rh_supramarginal_volume,rh_supramarginal_volume,rh_supramarginal_volume,rh_supramarginal_volume,,
Right Insula Gray Matter Volume,Right Insula gray matter volume,FMA:242225,,,,ST130CV,,,,,rh_(insula)GrayVol,RINSULA,,ST130CV,,,,,,,,,,
Left Cuneus Volume Gray Matter,Left Cuneus Volume gray matter,FMA:72680,,,,ST23CV,,,,lcun,lh_(cuneus)GrayVol,,,ST23CV,,,,,,,,,,
Left Inferior Temporal Gray Matter Volume,Left Inferior Temporal gray matter volume,EFO:0010308,,,LeftInferiortemporal,ST32CV,,,,,lh_(inferiortemporal)GrayVol,LINFTEMP,,ST32CV,,,,,,,,,,
Left Medial Orbitofrontal Gray Matter Volume,Left medial orbitofrontal gray matter volume,EFO:0010315,,,,ST39CV,,,,,lh_(medialorbitofrontal)GrayVol,LMEDORBF,,ST39CV,,lh_medialorbitofrontal_volume,lh_medialorbitofrontal_volume,lh_medialorbitofrontal_volume,lh_medialorbitofrontal_volume,lh_medialorbitofrontal_volume,lh_medialorbitofrontal_volume,lh_medialorbitofrontal_volume,,
Left Pericalcarine Gray Matter Volume,Left pericalcarine gray matter volume,EFO:0010322,,,,ST48CV,,,,,lh_(pericalcarine)GrayVol,LPERCAL,,ST48CV,,lh_pericalcarine_volume,lh_pericalcarine_volume,lh_pericalcarine_volume,lh_pericalcarine_volume,lh_pericalcarine_volume,lh_pericalcarine_volume,lh_pericalcarine_volume,,
Left Precentral Gray Matter Volume,Left precentral gray matter volume,EFO:0010325,,,,ST51CV,,,,,lh_(precentral)GrayVol,LPRECEN,,ST51CV,,lh_precentral_volume,lh_precentral_volume,lh_precentral_volume,lh_precentral_volume,lh_precentral_volume,lh_precentral_volume,lh_precentral_volume,,
Left Rostral Middle Frontal Gray Matter Volume,Left rostral middle frontal gray matter volume,EFO:0010328,,,,ST55CV,,,,,lh_(rostralmiddlefrontal)GrayVol,LROSMF,,ST55CV,,lh_rostralmiddlefrontal_volume,lh_rostralmiddlefrontal_volume,lh_rostralmiddlefrontal_volume,lh_rostralmiddlefrontal_volume,lh_rostralmiddlefrontal_volume,lh_rostralmiddlefrontal_volume,lh_rostralmiddlefrontal_volume,,
Left Supramarginal Gray Matter Volume,Left Supramarginal gray matter volume,EFO:0010332,,,,ST59CV,,,,llsuprgv,lh_(supramarginal)GrayVol,LSUPMAR,,ST59CV,,lh_supramarginal_volume,lh_supramarginal_volume,lh_supramarginal_volume,lh_supramarginal_volume,lh_supramarginal_volume,lh_supramarginal_volume,lh_supramarginal_volume,,
Right Caudal Middle Frontal Grey Matter Volume,Right caudal middle frontal grey matter volume,EFO:0010290,,,,ST74CV,,,,,rh_(caudalmiddlefrontal)GrayVol,,,ST74CV,,,,,,,,,,
Right Choroid Plexus Volume,Right_Choroid_Plexus Volume,NCIT:C12694,,,,ST80SV,,Right-choroid-plexus,,,(Right-choroid-plexus)Volume_mm3,,,ST80SV,,Right-choroid-plexus,Right-choroid-plexus,Right-choroid-plexus,Right-choroid-plexus,Right-choroid-plexus,Right-choroid-plexus,Right-choroid-plexus,Right_choroid_plexus,
Right Frontal Pole Grey Matter Volume,Right frontal pole grey matter volume,EFO:0010304,,,,ST84CV,,,,lrfpv,rh_(frontalpole)GrayVol,,,ST84CV,,rh_frontalpole_volume,rh_frontalpole_volume,rh_frontalpole_volume,rh_frontalpole_volume,rh_frontalpole_volume,rh_frontalpole_volume,rh_frontalpole_volume,,
Right Inferior Temporal Gray Matter Volume,Right Inferior Temporal gray matter volume,EFO:0010308,,,RightInferiortemporal,ST91CV,,,,,rh_(inferiortemporal)GrayVol,RINFTEMP,,ST91CV,,,,,,,,,,
Right Medial Orbitofrontal Grey Matter Volume,Right Medial Orbitofrontal grey matter volume,EFO:0010315,,,,ST98CV,,,,,rh_(medialorbitofrontal)GrayVol,RMEDORBF,,ST98CV,,rh_medialorbitofrontal_volume,rh_medialorbitofrontal_volume,rh_medialorbitofrontal_volume,rh_medialorbitofrontal_volume,rh_medialorbitofrontal_volume,rh_medialorbitofrontal_volume,rh_medialorbitofrontal_volume,,
Left Parahippocampal Gray Matter Volume,Left parahippocampal gray matter volume,EFO:0010318,,,LeftParahippocampal,ST44CV,,,,llpahipgv,lh_(parahippocampal)GrayVol,,,ST44CV,,lh_parahippocampal_volume,lh_parahippocampal_volume,lh_parahippocampal_volume,lh_parahippocampal_volume,lh_parahippocampal_volume,lh_parahippocampal_volume,lh_parahippocampal_volume,,
Right Parahippocampal Gray Matter Volume,Right parahippocampal gray matter volume,EFO:0010318,,,RightParahippocampal,ST103CV,,,,lrpahipgv,rh_(parahippocampal)GrayVol,,,ST103CV,,rh_parahippocampal_volume,rh_parahippocampal_volume,rh_parahippocampal_volume,rh_parahippocampal_volume,rh_parahippocampal_volume,rh_parahippocampal_volume,rh_parahippocampal_volume,,
Fourth Ventricle Volume,Fourth_Ventricle Volume,EFO:0010303,,,,ST9SV,,4th-Ventricle,,lfvv,(4th-Ventricle)Volume_mm3,,,ST9SV,,4th-Ventricle,4th-Ventricle,4th-Ventricle,4th-Ventricle,4th-Ventricle,4th-Ventricle,4th-Ventricle,_4th_Ventricle,
Left Superior Parietal Gray Matter Volume,Left superior parietal gray matter volume,EFO:0010330,,,LeftSuperiorparietal,ST57CV,,,,llsupalv,lh_(superiorparietal)GrayVol,LSUPPAR,,ST57CV,,lh_superiorparietal_volume,lh_superiorparietal_volume,lh_superiorparietal_volume,lh_superiorparietal_volume,lh_superiorparietal_volume,lh_superiorparietal_volume,lh_superiorparietal_volume,,
Right Paracentral Grey Matter Volume,Right Paracentral grey matter volume,EFO:0010317,,,,ST102CV,,,,,rh_(paracentral)GrayVol,RPARCEN,,ST102CV,,,,,,,,,,
Right Postcentral Grey Matter Volume,Right Postcentral grey matter volume,EFO:0010323,,,,ST108CV,,,,lrpgv,rh_(postcentral)GrayVol,RPOSCEN,,ST108CV,,rh_postcentral_volume,rh_postcentral_volume,rh_postcentral_volume,rh_postcentral_volume,rh_postcentral_volume,rh_postcentral_volume,rh_postcentral_volume,,
Right Superior Frontal Gray Matter Volume,Right Superior Frontal gray matter volume,EFO:0010323,,,RightSuperiorfrontal,ST115CV,,,,lrsfgv,rh_(superiorfrontal)GrayVol,RSUPFR,,ST115CV,,rh_superiorfrontal_volume,rh_superiorfrontal_volume,rh_superiorfrontal_volume,rh_superiorfrontal_volume,rh_superiorfrontal_volume,rh_superiorfrontal_volume,rh_superiorfrontal_volume,,
Right Superior Temporal Gray Matter Volume,Right Superior Temporal gray matter volume,EFO:001033,,,RightSuperiortemporal,ST117CV,,,,lrstpgv,rh_(superiortemporal)GrayVol,RSUPTEM,,ST117CV,,rh_superiortemporal_volume,rh_superiortemporal_volume,rh_superiortemporal_volume,rh_superiortemporal_volume,rh_superiortemporal_volume,rh_superiortemporal_volume,rh_superiortemporal_volume,,
Left Insula Grey Matter Volume,Left Insula grey matter volume,UBERON:0002022,,,,ST129CV,,,,,lh_(insula)GrayVol,LINSULA,,ST129CV,,,,,,,,,,
Left Caudal Middle Frontal Gray Matter Volume,Left_Caudal_Middle_Frontal Gray Matter Volume,EFO:0010290,,,,ST15CV,,,,,lh_(caudalmiddlefrontal)GrayVol,,,ST15CV,,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,lh_caudalmiddlefrontal_volume,,
Left Choroid Plexus Volume,Left_Choroid_Plexus Volume,OMIT:0004151,,,,ST21SV,,Left-choroid-plexus,,,(Left-choroid-plexus)Volume_mm3,,,ST21SV,,Left-choroid-plexus,Left-choroid-plexus,Left-choroid-plexus,Left-choroid-plexus,Left-choroid-plexus,Left-choroid-plexus,Left-choroid-plexus,Left_choroid_plexus,
Left Inferior Parietal Gray Matter Volume,Left Inferior Parietal gray matter volume,EFO:0010307,,,LeftInferiorparietal,ST31CV,,,,,lh_(inferiorparietal)GrayVol,LINFPAR,,ST31CV,,,,,,,,,,
Left Lateral Occipital Gray Matter Volume,Left Lateral Occipital gray matter volume,EFO:0010311,,,,ST35CV,,,,,lh_(lateraloccipital)GrayVol,LLATOCC,,ST35CV,,lh_lateraloccipital_volume,lh_lateraloccipital_volume,lh_lateraloccipital_volume,lh_lateraloccipital_volume,lh_lateraloccipital_volume,lh_lateraloccipital_volume,lh_lateraloccipital_volume,,
Left Lingual Grey Gray Matter Volume,Left Lingual Grey gray matter volume,EFO:0010314,,,,ST38CV,,,,lllinggv,lh_(lingual)GrayVol,LLING,,ST38CV,,lh_lingual_volume,lh_lingual_volume,lh_lingual_volume,lh_lingual_volume,lh_lingual_volume,lh_lingual_volume,lh_lingual_volume,,
Left Paracentral Gray Matter Volume,Left Paracentral gray matter volume,EFO:0010317,,,,ST43CV,,,,,lh_(paracentral)GrayVol,LPARCEN,,ST43CV,,lh_paracentral_volume,lh_paracentral_volume,lh_paracentral_volume,lh_paracentral_volume,lh_paracentral_volume,lh_paracentral_volume,lh_paracentral_volume,,
Left Postcentral Gray Matter Volume,Left Postcentral gray matter volume,EFO:0010323,,,,ST49CV,,,,llpgv,lh_(postcentral)GrayVol,LPOSCEN,,ST49CV,,lh_postcentral_volume,lh_postcentral_volume,lh_postcentral_volume,lh_postcentral_volume,lh_postcentral_volume,lh_postcentral_volume,lh_postcentral_volume,,
Left Superior Frontal Gray Matter Volume,Left Superior Frontal gray matter volume,EFO:0010329,,,LeftSuperiorfrontal,ST56CV,,,,llsfgv,lh_(superiorfrontal)GrayVol,LSUPFR,,ST56CV,,lh_superiorfrontal_volume,lh_superiorfrontal_volume,lh_superiorfrontal_volume,lh_superiorfrontal_volume,lh_superiorfrontal_volume,lh_superiorfrontal_volume,lh_superiorfrontal_volume,,
Left Superior Temporal Gray Matter Volume,Left Superior Temporal gray matter volume,EFO:0010331,,,LeftSuperiortemporal,ST58CV,,,,,lh_(superiortemporal)GrayVol,LSUPTEM,,ST58CV,,,,,,,,,,
Right Cuneus Gray Matter Volume,Right Cuneus gray matter volume,EFO:0010301,,,,,,,,rcun,rh_(cuneus)GrayVol,,,,,,,,,,,,,
Right Inferior Parietal Gray Matter Volume,Right Inferior Parietal gray matter volume,EFO:0010307,,,RightInferiorparietal,ST90CV,,,,,rh_(inferiorparietal)GrayVol,RINFPAR,,ST90CV,,,,,,,,,,
Right Lateral Occipital Gray Matter Volume,Right Lateral Occipital gray matter volume,EFO:0010307,,,,ST94CV,,,,,rh_(lateraloccipital)GrayVol,RLATOCC,,ST94CV,,rh_lateraloccipital_volume,rh_lateraloccipital_volume,rh_lateraloccipital_volume,rh_lateraloccipital_volume,rh_lateraloccipital_volume,rh_lateraloccipital_volume,rh_lateraloccipital_volume,,
Right Lingual Grey Matter Volume,Right Lingual grey matter volume,EFO:0010314,,,,ST97CV,,,,lrlinggv,rh_(lingual)GrayVol,RLING,,ST97CV,,rh_lingual_volume,rh_lingual_volume,rh_lingual_volume,rh_lingual_volume,rh_lingual_volume,rh_lingual_volume,rh_lingual_volume,,
Left Pars Opercularis Gray Matter Volume,Left pars opercularis gray matter volume,EFO:0010319,,,,ST45CV,,,,,lh_(parsopercularis)GrayVol,LPARSOP,,ST45CV,,lh_parsopercularis_volume,lh_parsopercularis_volume,lh_parsopercularis_volume,lh_parsopercularis_volume,lh_parsopercularis_volume,lh_parsopercularis_volume,lh_parsopercularis_volume,,
Right Pars Opercularis Gray Matter Volume,Right pars opercularis gray matter volume,EFO:0010319,,,,ST104CV,,,,,rh_(parsopercularis)GrayVol,RPARSOP,,ST104CV,,rh_parsopercularis_volume,rh_parsopercularis_volume,rh_parsopercularis_volume,rh_parsopercularis_volume,rh_parsopercularis_volume,rh_parsopercularis_volume,rh_parsopercularis_volume,,
Left Pars Orbitalis Gray Matter Volume,Left pars orbitalis gray matter volume,EFO:0010320,,,,ST46CV,,,,,lh_(parsorbitalis)GrayVol,LPARORB,,ST46CV,,lh_parsorbitalis_volume,lh_parsorbitalis_volume,lh_parsorbitalis_volume,lh_parsorbitalis_volume,lh_parsorbitalis_volume,lh_parsorbitalis_volume,lh_parsorbitalis_volume,,
Right Pars Orbitalis Gray Matter Volume,Right pars orbitalis gray matter volume,EFO:0010320,,,,ST105CV,,,,,rh_(parsorbitalis)GrayVol,RPARORB,,ST105CV,,rh_parsorbitalis_volume,rh_parsorbitalis_volume,rh_parsorbitalis_volume,rh_parsorbitalis_volume,rh_parsorbitalis_volume,rh_parsorbitalis_volume,rh_parsorbitalis_volume,,
Left Pars Triangularis Gray Matter Volume,Left pars triangularis gray matter volume,EFO:0010321,,,,ST47CV,,,,,rh_(parstriangularis)GrayVol,LPARTRI,,ST47CV,,lh_parstriangularis_volume,lh_parstriangularis_volume,lh_parstriangularis_volume,lh_parstriangularis_volume,lh_parstriangularis_volume,lh_parstriangularis_volume,lh_parstriangularis_volume,,
Right Pars Triangularis Gray Matter Volume,Right pars triangularis gray matter volume,EFO:0010321,,,,ST106CV,,,,,lh_(parstriangularis)GrayVol,RPARTRI,,ST106CV,,rh_parstriangularis_volume,rh_parstriangularis_volume,rh_parstriangularis_volume,rh_parstriangularis_volume,rh_parstriangularis_volume,rh_parstriangularis_volume,rh_parstriangularis_volume,,
Left Posterior Cingulate Gray Matter Volume,Left posterior cingulate gray matter volume,EFO:0010324,,,,ST50CV,,,,llpcingv,lh_(posteriorcingulate)GrayVol,LPOSCIN,,ST50CV,,lh_posteriorcingulate_volume,lh_posteriorcingulate_volume,lh_posteriorcingulate_volume,lh_posteriorcingulate_volume,lh_posteriorcingulate_volume,lh_posteriorcingulate_volume,lh_posteriorcingulate_volume,,
Right Posterior Cingulate Gray Matter Volume,Right posterior cingulate gray matter volume,EFO:0010324,,,,ST109CV,,,,lrpcingv,rh_(posteriorcingulate)GrayVol,RPOSCIN,,ST109CV,,rh_posteriorcingulate_volume,rh_posteriorcingulate_volume,rh_posteriorcingulate_volume,rh_posteriorcingulate_volume,rh_posteriorcingulate_volume,rh_posteriorcingulate_volume,rh_posteriorcingulate_volume,,
Left Rostral Anterior Cingulate Gray Matter Volume,Left rostral anterior cingulate gray matter volume,EFO:0010327,,,,ST54CV,,,,,lh_(rostralanteriorcingulate)GrayVol,LROSANC,,ST54CV,,lh_rostralanteriorcingulate_volume,lh_rostralanteriorcingulate_volume,lh_rostralanteriorcingulate_volume,lh_rostralanteriorcingulate_volume,lh_rostralanteriorcingulate_volume,lh_rostralanteriorcingulate_volume,lh_rostralanteriorcingulate_volume,,
Right Rostral Anterior Cingulate Gray Matter Volume,Right rostral anterior cingulate gray matter volume,EFO:0010327,,,,ST113CV,,,,,rh_(rostralanteriorcingulate)GrayVol,RROSANC,,ST113CV,,rh_rostralanteriorcingulate_volume,rh_rostralanteriorcingulate_volume,rh_rostralanteriorcingulate_volume,rh_rostralanteriorcingulate_volume,rh_rostralanteriorcingulate_volume,rh_rostralanteriorcingulate_volume,rh_rostralanteriorcingulate_volume,,
Brain Stem Grey Matter Volume,Brain Stem grey matter volume,EFO:0010605,,,Brainstem,ST1SV,,Brain-Stem,,,(Brain-Stem)Volume_mm3,,,ST1SV,,Brain-Stem,Brain-Stem,Brain-Stem,Brain-Stem,Brain-Stem,Brain-Stem,Brain-Stem,Brain_Stem,
Cerebrospinal Fluid Volume,Cerebrospinal Fluid Volume,EFO:0008080,,,,ST7SV,,CSF,,lcsfv,(CSF)Volume_mm3,CSFVOL,,ST7SV,,CSF,CSF,CSF,CSF,CSF,CSF,CSF,CSF,
Left-vessel From Qdec,Left-vessel from Qdec,UBERON:0016565,,,,ST66SV,,Left-vessel,,,(Left-vessel)Volume_mm3,,,ST66SV,,Left-vessel,Left-vessel,Left-vessel,Left-vessel,Left-vessel,Left-vessel,Left-vessel,Left_vessel,
Left Caudal Anterior Cingulate Mean Cortical Thickness,Left caudal anterior cingulate mean cortical thickness,,,,,ST14TA,,lh_caudalanteriorcingulate_thickness,,,lh_(caudalanteriorcingulate)ThickAvg,LCACM,,ST14TA,,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalanteriorcingulate_thickness,,
Right Caudal Anterior Cingulate Mean Cortical Thickness,Right caudal anterior cingulate mean cortical thickness,,,,,ST73TA,,rh_caudalanteriorcingulate_thickness,,,rh_(caudalanteriorcingulate)ThickAvg,RCACM,,ST73TA,,rh_caudalanteriorcingulate_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalanteriorcingulate_thickness,,
Left Caudal Middle Frontal Mean Cortical Thickness,Left caudal middle frontal mean cortical thickness,,,,,ST15TA,,lh_caudalmiddlefrontal_thickness,,,lh_(caudalmiddlefrontal)ThickAvg,LCMFM,,ST15TA,,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,lh_caudalmiddlefrontal_thickness,,
Right Caudal Middle Frontal Mean Frontal Thickness,Right caudal middle frontal mean frontal thickness,,,,,,,rh_caudalmiddlefrontal_thickness,,,rh_(caudalmiddlefrontal)ThickAvg,RCMFM,,ST74TA,,rh_caudalmiddlefrontal_thickness,rh_caudalmiddlefrontal_thickness,rh_caudalmiddlefrontal_thickness,rh_caudalmiddlefrontal_thickness,rh_caudalmiddlefrontal_thickness,rh_caudalmiddlefrontal_thickness,rh_caudalmiddlefrontal_thickness,,
Left Cuneus Mean Cortical Thickness,Left cuneus mean cortical thickness,,,,,ST23TA,,lh_cuneus_thickness,,,lh_(cuneus)ThickAvg,LCUNM,,ST23TA,,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,lh_cuneus_thickness,,
Right Cuneus Mean Cortical Thickness,Right cuneus mean cortical thickness,,,,,ST82TA,,rh_cuneus_thickness,,,rh_(cuneus)ThickAvg,RCUNM,,ST82TA,,rh_cuneus_thickness,rh_cuneus_thickness,rh_cuneus_thickness,rh_cuneus_thickness,rh_cuneus_thickness,rh_cuneus_thickness,rh_cuneus_thickness,,
Left Entorightinal Mean Cortical,Left entorightinal mean cortical,,,,,ST24TA,,lh_entorhinal_thickness,,,lh_(entorhinal)ThickAvg,LENTM,,ST24TA,,lh_entorhinal_thickness,lh_entorhinal_thickness,lh_entorhinal_thickness,lh_entorhinal_thickness,lh_entorhinal_thickness,lh_entorhinal_thickness,lh_entorhinal_thickness,,
Right Entorightinal Mean Cortical Thickness,Right entorightinal mean cortical thickness,,,,,ST83TA,,rh_entorhinal_thickness,,,rh_(entorhinal)ThickAvg,RENTM,,ST83TA,,rh_entorhinal_thickness,rh_entorhinal_thickness,rh_entorhinal_thickness,rh_entorhinal_thickness,rh_entorhinal_thickness,rh_entorhinal_thickness,rh_entorhinal_thickness,,
Left Fusiform Mean Cortical Thickness,Left fusiform mean cortical thickness,,,,,ST26TA,,lh_fusiform_thickness,,,rh_(fusiform)ThickAvg,LFUSM,,ST26TA,,lh_fusiform_thickness,lh_fusiform_thickness,lh_fusiform_thickness,lh_fusiform_thickness,lh_fusiform_thickness,lh_fusiform_thickness,lh_fusiform_thickness,,
Right Fusiform Mean Cortical Thickness,Right fusiform mean cortical thickness,,,,,ST85TA,,rh_fusiform_thickness,,,lh_(fusiform)ThickAvg,RFUSM,,ST85TA,,rh_fusiform_thickness,rh_fusiform_thickness,rh_fusiform_thickness,rh_fusiform_thickness,rh_fusiform_thickness,rh_fusiform_thickness,rh_fusiform_thickness,,
Left Inferiorparietal Mean Cortical Thickness,Left inferiorparietal mean cortical thickness,,,,,ST31TA,,lh_inferiorparietal_thickness,,,lh_(inferiorparietal)ThickAvg,LINFPARM,,ST31TA,,lh_inferiorparietal_thickness,lh_inferiorparietal_thickness,lh_inferiorparietal_thickness,lh_inferiorparietal_thickness,lh_inferiorparietal_thickness,lh_inferiorparietal_thickness,lh_inferiorparietal_thickness,,
Right Inferiorparietal Mean Cortical Thickness,Right inferiorparietal mean cortical thickness,,,,,ST90TA,,rh_inferiorparietal_thickness,,,rh_(inferiorparietal)ThickAvg,RINFPARM,,ST90TA,,rh_inferiorparietal_thickness,rh_inferiorparietal_thickness,rh_inferiorparietal_thickness,rh_inferiorparietal_thickness,rh_inferiorparietal_thickness,rh_inferiorparietal_thickness,rh_inferiorparietal_thickness,,
Left Inferiortemporal Mean Cortical Thickness,Left inferiortemporal mean cortical thickness,,,,,ST32TA,,lh_inferiortemporal_thickness,,,lh_(inferiortemporal)ThickAvg,LINFTEMM,,ST32TA,,lh_inferiortemporal_thickness,lh_inferiortemporal_thickness,lh_inferiortemporal_thickness,lh_inferiortemporal_thickness,lh_inferiortemporal_thickness,lh_inferiortemporal_thickness,lh_inferiortemporal_thickness,,
Right Inferiortemporal Mean Cortical Thickness,Right inferiortemporal mean cortical thickness,,,,,ST91TA,,rh_inferiortemporal_thickness,,,rh_(inferiortemporal)ThickAvg,RINFTEMM,,ST91TA,,rh_inferiortemporal_thickness,rh_inferiortemporal_thickness,rh_inferiortemporal_thickness,rh_inferiortemporal_thickness,rh_inferiortemporal_thickness,rh_inferiortemporal_thickness,rh_inferiortemporal_thickness,,
Left Insula Mean Cortical Thickness,Left insula mean cortical thickness,,,,,ST129TA,,lh_insula_thickness,,,lh_(insula)ThickAvg,LINSULAM,,ST129TA,,lh_insula_thickness,lh_insula_thickness,lh_insula_thickness,lh_insula_thickness,lh_insula_thickness,lh_insula_thickness,lh_insula_thickness,,
Right Insula Thickness,Right insula thickness,,,,,ST130TA,,rh_insula_thickness,,,rh_(insula)ThickAvg,RINSULAM,,ST130TA,,rh_insula_thickness,rh_insula_thickness,rh_insula_thickness,rh_insula_thickness,rh_insula_thickness,rh_insula_thickness,rh_insula_thickness,,
Left Isthmus Cingulate Mean Cortical Thickness,Left isthmus cingulate mean cortical thickness,,,,,ST34CV,,lh_isthmuscingulate_thickness,,,lh_(isthmuscingulate)ThickAvg,LISTHCM,,ST34TA,,lh_isthmuscingulate_thickness,lh_isthmuscingulate_thickness,lh_isthmuscingulate_thickness,lh_isthmuscingulate_thickness,lh_isthmuscingulate_thickness,lh_isthmuscingulate_thickness,lh_isthmuscingulate_thickness,,
