Feature,Feature_old,CURIE,Definition,Synonyms,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB
Right Sulcus Oc Middle And Lunatus Thickness From Qdec,Right_sulcus_oc_middle_and_Lunatus_thickness_from_Qdec_rh,,,,,,,,,,(S_oc_middle_and_Lunatus)ThickAvg,,,,,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_middle_and_Lunatus_thickness,,
Right Sulcus Oc Sup And Transversal Thickness From Qdec,Right_sulcus_oc_sup_and_transversal_thickness_from_Qdec_rh,,,,,,,,,,(S_oc_sup_and_transversal)ThickAvg,,,,,rh_S_oc_sup_and_transversal_thickness,rh_S_oc_sup_and_transversal_thickness,rh_S_oc_sup_and_transversal_thickness,rh_S_oc_sup_and_transversal_thickness,rh_S_oc_sup_and_transversal_thickness,rh_S_oc_sup_and_transversal_thickness,rh_S_oc_sup_and_transversal_thickness,,
Right Sulcus Occipital Anterior Thickness From Qdec,Right_sulcus_occipital_anterior_thickness_from_Qdec_rh,,,,,,,,,,(S_occipital_ant)ThickAvg,,,,,rh_S_occipital_ant_thickness,rh_S_occipital_ant_thickness,rh_S_occipital_ant_thickness,rh_S_occipital_ant_thickness,rh_S_occipital_ant_thickness,rh_S_occipital_ant_thickness,rh_S_occipital_ant_thickness,,
Right Sulcus Oc-temp Lat Thickness From Qdec,Right_sulcus_oc-temp_lat_thickness_from_Qdec_rh,,,,,,,,,,(S_oc-temp_lat)ThickAvg,,,,,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_lat_thickness,,
Right Sulcus Oc-temp Med And Lingual Thickness From Qdec,Right_sulcus_oc-temp_med_and_Lingual_thickness_from_Qdec_rh,,,,,,,,,,(S_oc-temp_med_and_Lingual)ThickAvg,,,,,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_oc-temp_med_and_Lingual_thickness,,
Right Sulcus Orbital Lateral Thickness From Qdec,Right_sulcus_orbital_lateral_thickness_from_Qdec_rh,,,,,,,,,,(S_orbital_lateral)ThickAvg,,,,,rh_S_orbital_lateral_thickness,rh_S_orbital_lateral_thickness,rh_S_orbital_lateral_thickness,rh_S_orbital_lateral_thickness,rh_S_orbital_lateral_thickness,rh_S_orbital_lateral_thickness,rh_S_orbital_lateral_thickness,,
Right Sulcus Orbital Med-olfact Thickness From Qdec,Right_sulcus_orbital_med-olfact_thickness_from_Qdec_rh,,,,,,,,,,(S_orbital_med-olfact)ThickAvg,,,,,rh_S_orbital_med-olfact_thickness,rh_S_orbital_med-olfact_thickness,rh_S_orbital_med-olfact_thickness,rh_S_orbital_med-olfact_thickness,rh_S_orbital_med-olfact_thickness,rh_S_orbital_med-olfact_thickness,rh_S_orbital_med-olfact_thickness,,
Right Sulcus Orbital-H Shaped Thickness From Qdec,Right_sulcus_orbital-H_Shaped_thickness_from_Qdec_rh,,,,,,,,,,(S_orbital-H_Shaped)ThickAvg,,,,,rh_S_orbital-H_Shaped_thickness,rh_S_orbital-H_Shaped_thickness,rh_S_orbital-H_Shaped_thickness,rh_S_orbital-H_Shaped_thickness,rh_S_orbital-H_Shaped_thickness,rh_S_orbital-H_Shaped_thickness,rh_S_orbital-H_Shaped_thickness,,
Right Sulcus Parieto Occipital Thickness From Qdec,Right_sulcus_parieto_occipital_thickness_from_Qdec_rh,,,,,,,,,,(S_parieto_occipital)ThickAvg,,,,,rh_S_parieto_occipital_thickness,rh_S_parieto_occipital_thickness,rh_S_parieto_occipital_thickness,rh_S_parieto_occipital_thickness,rh_S_parieto_occipital_thickness,rh_S_parieto_occipital_thickness,rh_S_parieto_occipital_thickness,,
Right Sulcus Pericallosal Thickness From Qdec,Right_sulcus_pericallosal_thickness_from_Qdec_rh,,,,,,,,,,(S_pericallosal)ThickAvg,,,,,rh_S_pericallosal_thickness,rh_S_pericallosal_thickness,rh_S_pericallosal_thickness,rh_S_pericallosal_thickness,rh_S_pericallosal_thickness,rh_S_pericallosal_thickness,rh_S_pericallosal_thickness,,
Right Sulcus Postcentral Thickness From Qdec,Right_sulcus_postcentral_thickness_from_Qdec_rh,,,,,,,,,,(S_postcentral)ThickAvg,,,,,rh_S_postcentral_thickness,rh_S_postcentral_thickness,rh_S_postcentral_thickness,rh_S_postcentral_thickness,rh_S_postcentral_thickness,rh_S_postcentral_thickness,rh_S_postcentral_thickness,,
Right Sulcus Precentral-inf-part Thickness From Qdec,Right_sulcus_precentral-inf-part_thickness_from_Qdec_rh,,,,,,,,,,(S_precentral-inf-part)ThickAvg,,,,,rh_S_precentral-inf-part_thickness,rh_S_precentral-inf-part_thickness,rh_S_precentral-inf-part_thickness,rh_S_precentral-inf-part_thickness,rh_S_precentral-inf-part_thickness,rh_S_precentral-inf-part_thickness,rh_S_precentral-inf-part_thickness,,
Right Sulcus Precentral-sup-part Thickness From Qdec,Right_sulcus_precentral-sup-part_thickness_from_Qdec_rh,,,,,,,,,,(S_precentral-sup-part)ThickAvg,,,,,rh_S_precentral-sup-part_thickness,rh_S_precentral-sup-part_thickness,rh_S_precentral-sup-part_thickness,rh_S_precentral-sup-part_thickness,rh_S_precentral-sup-part_thickness,rh_S_precentral-sup-part_thickness,rh_S_precentral-sup-part_thickness,,
Right Sulcus Suborbital Thickness From Qdec,Right_sulcus_suborbital_thickness_from_Qdec_rh,,,,,,,,,,(S_suborbital)ThickAvg,,,,,rh_S_suborbital_thickness,rh_S_suborbital_thickness,rh_S_suborbital_thickness,rh_S_suborbital_thickness,rh_S_suborbital_thickness,rh_S_suborbital_thickness,rh_S_suborbital_thickness,,
Right Sulcus Subparietal Thickness From Qdec,Right_sulcus_subparietal_thickness_from_Qdec_rh,,,,,,,,,,(S_subparietal)ThickAvg,,,,,rh_S_subparietal_thickness,rh_S_subparietal_thickness,rh_S_subparietal_thickness,rh_S_subparietal_thickness,rh_S_subparietal_thickness,rh_S_subparietal_thickness,rh_S_subparietal_thickness,,
Right Sulcus Temporal Inferior Thickness From Qdec,Right_sulcus_temporal_inferior_thickness_from_Qdec_rh,,,,,,,,,,(S_temporal_inf)ThickAvg,,,,,rh_S_temporal_inf_thickness,rh_S_temporal_inf_thickness,rh_S_temporal_inf_thickness,rh_S_temporal_inf_thickness,rh_S_temporal_inf_thickness,rh_S_temporal_inf_thickness,rh_S_temporal_inf_thickness,,
Right Sulcus Temporal Sup Thickness From Qdec,Right_sulcus_temporal_sup_thickness_from_Qdec_rh,,,,,,,,,,(S_temporal_sup)ThickAvg,,,,,rh_S_temporal_sup_thickness,rh_S_temporal_sup_thickness,rh_S_temporal_sup_thickness,rh_S_temporal_sup_thickness,rh_S_temporal_sup_thickness,rh_S_temporal_sup_thickness,rh_S_temporal_sup_thickness,,
Right Sulcus Temporal Transverse Thickness From Qdec,Right_sulcus_temporal_transverse_thickness_from_Qdec_rh,,,,,,,,,,(S_temporal_transverse)ThickAvg,,,,,rh_S_temporal_transverse_thickness,rh_S_temporal_transverse_thickness,rh_S_temporal_transverse_thickness,rh_S_temporal_transverse_thickness,rh_S_temporal_transverse_thickness,rh_S_temporal_transverse_thickness,rh_S_temporal_transverse_thickness,,
Right Gyrus And Sulcus Frontomargin Volume From Qdec,Right_gyrus_and_sulcus_frontomargin_volume_from_Qdec_rh,,,,,,,,,,(G_and_S_frontomargin)GrayVol,,,,,rh_G_and_S_frontomargin_volume,rh_G_and_S_frontomargin_volume,rh_G_and_S_frontomargin_volume,rh_G_and_S_frontomargin_volume,rh_G_and_S_frontomargin_volume,rh_G_and_S_frontomargin_volume,rh_G_and_S_frontomargin_volume,,
Right Gyrus And Sulcus Occipital Inferior Volume From Qdec,Right_gyrus_and_sulcus_occipital_inferior_volume_from_Qdec_rh,,,,,,,,,lrinfogv,(G_and_S_occipital_inf)GrayVol,,,,,rh_G_and_S_occipital_inf_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_occipital_inf_volume,,
Right Gyrus And Sulcus Paracentral Volume From Qdec,Right_gyrus_and_sulcus_paracentral_volume_from_Qdec_rh,,,,,,,,,,(G_and_S_paracentral)GrayVol,,,,,rh_G_and_S_paracentral_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_paracentral_volume,,
Right Gyrus And Sulcus Subcentral Volume From Qdec,Right_gyrus_and_sulcus_subcentral_volume_from_Qdec_rh,,,,,,,,,,(G_and_S_subcentral)GrayVol,,,,,rh_G_and_S_subcentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_subcentral_volume,,
Right Gyrus And Sulcus Transv Frontopol Volume From Qdec,Right_gyrus_and_sulcus_transv_frontopol_volume_from_Qdec_rh,,,,,,,,,,(G_and_S_transv_frontopol)GrayVol,,,,,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_transv_frontopol_volume,,
Right Gyrus And Sulcus Cingul-Ant Volume From Qdec,Right_gyrus_and_sulcus_cingul-Ant_volume_from_Qdec_rh,,,,,,,,,,(G_and_S_cingul-Ant)GrayVol,,,,,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Ant_volume,,
Right Gyrus And Sulcus Cingul-Mid-Ant Volume From Qdec,Right_gyrus_and_sulcus_cingul-Mid-Ant_volume_from_Qdec_rh,,,,,,,,,,(G_and_S_cingul-Mid-Ant)GrayVol,,,,,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,,
Right Gyrus And Sulcus Cingul-Mid-Post Volume From Qdec,Right_gyrus_and_sulcus_cingul-Mid-Post_volume_from_Qdec_rh,,,,,,,,,,(G_and_S_cingul-Mid-Post)GrayVol,,,,,rh_G_and_S_cingul-Mid-Post_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_and_S_cingul-Mid-Post_volume,,
Right Gyrus Cingul-Post-dorsal Volume From Qdec,Right_gyrus_cingul-Post-dorsal_volume_from_Qdec_rh,,,,,,,,,,(G_cingul-Post-dorsal)GrayVol,,,,,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-dorsal_volume,,
Right Gyrus Cingul-Post-ventral Volume From Qdec,Right_gyrus_cingul-Post-ventral_volume_from_Qdec_rh,,,,,,,,,,(G_cingul-Post-ventral)GrayVol,,,,,rh_G_cingul-Post-ventral_volume,rh_G_cingul-Post-ventral_volume,rh_G_cingul-Post-ventral_volume,rh_G_cingul-Post-ventral_volume,rh_G_cingul-Post-ventral_volume,rh_G_cingul-Post-ventral_volume,rh_G_cingul-Post-ventral_volume,,
