Feature,Feature_old,CURIE,Definition,Synonyms,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB
Left Putamen Volume,Left Putamen Volume,FMA:72829,,,LeftPutamen,ST53SV,,Left-Putamen,,llputv,(Left-Putamen)Volume_mm3,,,ST53SV,,Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen,Left-Putamen,Left_Putamen,
Left Pallidum Volume,Left Pallidum Volume,-,,,LeftPallidum,ST42SV,,Left-Pallidum,,llpalv,(Left-Pallidum)Volume_mm3,,,ST42SV,,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left-Pallidum,Left_Pallidum,
Left Amygdala Volume,Left Amygdala Volume,-,,,LeftAmygdala,ST12SV,,Left-Amygdala,,llamyg,(Left-Amygdala)Volume_mm3,,,ST12SV,,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left-Amygdala,Left_Amygdala,
Left Accumbens Area Volume,Left_Accumbens_Area volume,FMA:72837,,,,ST11SV,,Left-Accumbens-area,,llaccu,(Left-Accumbens-area)Volume_mm3,,,ST11SV,,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left-Accumbens-area,Left_Accumbens_area,
Right Caudate Volume,Right Caudate Volume,FMA:72826,,,RightCaudate,ST75SV,,Right-Caudate,,lrcv,(Right-Caudate)Volume_mm3,,,ST75SV,,Right-Caudate,Right-Caudate,Right-Caudate,Right-Caudate,Right-Caudate,Right-Caudate,Right-Caudate,Right_Caudate,
Right Putamen Volume,Right Putamen Volume,FMA:72828,,,RightPutamen,ST112SV,,Right-Putamen,,lrputv,(Right-Putamen)Volume_mm3,,,ST112SV,,Right-Putamen,Right-Putamen,Right-Putamen,Right-Putamen,Right-Putamen,Right-Putamen,Right-Putamen,Right_Putamen,
Right Pallidum Volume,Right Pallidum volume,-,,,RightPallidum,ST101SV,,Right-Pallidum,,lrpalv,(Right-Pallidum)Volume_mm3,,,ST101SV,,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right-Pallidum,Right_Pallidum,
Right Amygdala Volume,Right Amygdala Volume,FMA:72832,,,RightAmygdala,ST71SV,,Right-Amygdala,,lramyg,(Right-Amygdala)Volume_mm3,,,ST71SV,,Right-Amygdala,Right-Amygdala,Right-Amygdala,Right-Amygdala,Right-Amygdala,Right-Amygdala,Right-Amygdala,Right_Amygdala,
Right Accumbens Area Volume,Right_Accumbens_Area Volume,FMA:72836,,,,ST70SV,,Right-Accumbens-area,,lraccu,(Right-Accumbens-area)Volume_mm3,,,ST70SV,,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right-Accumbens-area,Right_Accumbens_area,
