Feature	A4	ABVIB	ADNI	AIBL	ANM	ARWIBO	DOD-ADNI	EDSD	EMIF	EPAD	I-ADNI	JADNI	NACC	OASIS	PREVENT-AD	PharmaCog	ROSMAP	VASCULAR	VITA	WMH-AD
Left Gyrus Precuneus Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Rectus Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Subcallosal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-G T Transv Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Lateral Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Temp Sup-Plan Polar Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Plan Tempo Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temporal Inferior Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus Temporal Middle Meancurv From Qdec						1		1			1			1		1			1	1
Left Lat Fis-ant-Horizont Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-ant-Vertical Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-post Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Pole Occipital Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Pole Temporal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Calcarine Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Central Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Cingul-Marginalis Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Anterior Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Inferior Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Sup Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Collat Transv Anterior Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Collat Transv Posterior Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Frontal Inferior Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Frontal Middle Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Frontal Sup Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Interm Prim-Jensen Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Intrapariet And P Trans Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc Middle And Lunatus Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc Sup And Transversal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Occipital Anterior Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Oc-temp Lat Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Oc-temp Med And Lingual Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Orbital Lateral Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Orbital Med-olfact Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Orbital-H Shaped Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Parieto Occipital Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Pericallosal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Postcentral Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Precentral-inf-part Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Precentral-sup-part Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Suborbital Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Subparietal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Temporal Inferior Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Temporal Sup Meancurv From Qdec						1		1			1			1		1			1	1
Left Sulcus Temporal Transverse Meancurv From Qdec						1		1			1			1		1			1	1
Left Gyrus And Sulcus Frontomargin Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Occipital Inferior Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Paracentral Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Subcentral Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Transv Frontopol Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Ant Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Mid-Ant Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Mid-Post Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Cingul-Post-dorsal Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Cingul-Post-ventral Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Inf-Opercular Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Inf-Orbital Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Inf-Triangul Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Middle Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Ins Lg And Sulcus Cent Ins Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Insular Short Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Occipital Middle Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Occipital Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Oc-temp Lat-fusifor Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Oc-temp Med-Lingual Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Oc-temp Med-Parahip Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Orbital Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Pariet Inf-Angular Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Pariet Inf-Supramar Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Parietal Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Postcentral Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Precentral Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Precuneus Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Rectus Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Subcallosal Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-G T Transv Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Lateral Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Plan Polar Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Plan Tempo Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temporal Inferior Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temporal Middle Thickness From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-ant-Horizont Thickness From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-ant-Vertical Thickness From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-post Thickness From Qdec						1		1			1	1		1		1			1	1
Left Pole Occipital Thickness From Qdec						1		1			1	1		1		1			1	1
Left Pole Temporal Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Calcarine Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Central Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Cingul-Marginalis Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Anterior Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Inferior Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Collat Transv Anterior Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Collat Transv Posterior Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Frontal Inferior Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Frontal Middle Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Frontal Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Interm Prim-Jensen Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Intrapariet And P Trans Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc Middle And Lunatus Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc Sup And Transversal Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Occipital Anterior Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc-temp Lat Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc-temp Med And Lingual Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Orbital Lateral Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Orbital Med-olfact Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Orbital-H Shaped Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Parieto Occipital Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Pericallosal Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Postcentral Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Precentral-inf-part Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Precentral-sup-part Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Suborbital Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Subparietal Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Temporal Inferior Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Temporal Sup Thickness From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Temporal Transverse Thickness From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Frontomargin Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Occipital Inferior Volume From Qdec						1		1		1	1	1		1		1			1	1
Left Gyrus And Sulcus Paracentral Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Subcentral Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Transv Frontopol Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Ant Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Mid-Ant Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus And Sulcus Cingul-Mid-Post Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Cingul-Post-dorsal Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Cingul-Post-ventral Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Inf-Opercular Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Inf-Orbital Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Inf-Triangul Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Frontal Middle Volume From Qdec						1		1		1	1	1		1		1			1	1
Left Gyrus Frontal Sup Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Ins Lg And Sulcus Cent Ins Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Insular Short Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Occipital Middle Volume From Qdec						1		1		1	1	1		1		1			1	1
Left Gyrus Occipital Sup Volume From Qdec						1		1		1	1	1		1		1			1	1
Left Gyrus Oc-temp Lat-fusifor Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Oc-temp Med-Lingual Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Oc-temp Med-Parahip Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Orbital Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Pariet Inf-Angular Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Pariet Inf-Supramar Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Parietal Sup Volume From Qdec						1		1		1	1	1		1		1			1	1
Left Gyrus Postcentral Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Precentral Volume From Qdec						1		1		1	1	1		1		1			1	1
Left Gyrus Precuneus Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Rectus Volume From Qdec						1		1		1	1	1		1		1			1	1
Left Gyrus Subcallosal Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-G T Transv Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Lateral Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Plan Polar Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temp Sup-Plan Tempo Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temporal Inferior Volume From Qdec						1		1			1	1		1		1			1	1
Left Gyrus Temporal Middle Volume From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-ant-Horizont Volume From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-ant-Vertical Volume From Qdec						1		1			1	1		1		1			1	1
Left Lat Fis-post Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Central Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Cingul-Marginalis Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Anterior Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Inferior Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Circular Insula Sup Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Collat Transv Anterior Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Collat Transv Posterior Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Frontal Inferior Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Frontal Middle Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Frontal Sup Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Interm Prim-Jensen Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Intrapariet And P Trans Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc Middle And Lunatus Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc Sup And Transversal Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Occipital Anterior Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc-temp Lat Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Oc-temp Med And Lingual Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Orbital Lateral Volume From Qdec						1		1		1	1	1		1		1			1	1
Left Sulcus Orbital Med-olfact Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Orbital-H Shaped Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Parieto Occipital Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Pericallosal Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Postcentral Volume From Qdec						1		1			1			1		1			1	1
Left Sulcus Precentral-inf-part Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Precentral-sup-part Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Suborbital Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Subparietal Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Temporal Inferior Volume From Qdec						1		1			1	1		1		1			1	1
Left Sulcus Temporal Sup Volume From Qdec						1		1		1	1	1		1		1			1	1
Left Sulcus Temporal Transverse Volume From Qdec						1		1		1	1	1		1		1			1	1
Left WhiteSurfArea Area From Qdec			1			1	1	1			1			1		1			1	1
Left Banks Of The Superior Temoral Sulcus Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Caudalanteriorcingulate Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Caudalmiddlefrontal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Cuneus Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Entorightinal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Fusiform Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Inferiorparietal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Inferiortemporal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Isthmuscingulate Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Lateraloccipital Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Lateralorbitofrontal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Lingual Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Medialorbitofrontal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Middletemporal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Parahippocampal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Paracentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Parsopercularis Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Parsorbitalis Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Parstriangularis Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Pericalcarine Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Postcentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Posteriorcingulate Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Precentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Precuneus Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Rostralanteriorcingulate Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Rostralmiddlefrontal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Superiorfrontal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Superiorparietal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Superiortemporal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Supramarginal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Frontalpole Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Temporalpole Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Transversetemporal Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Insula Meancurv From Qdec						1		1			1	1		1		1			1	1
Left Sulcus And Gyrus Paracentral Area						1		1			1	1		1		1			1	1
Left MeanThickness Thickness From Qdec					1	1		1			1			1		1			1	1
Left Cuneus Volume From Qdec aparc						1		1			1	1		1		1			1	1
Left Entorightinal Volume From Qdec aparc						1		1		1	1	1		1		1			1	1
Left Inferiorparietal Volume From Qdec aparc						1		1			1	1		1		1			1	1
Left Inferiortemporal Volume From Qdec aparc						1		1		1	1	1		1		1			1	1
Left Isthmuscingulate Volume From Qdec aparc						1		1			1	1		1		1			1	1
Left Superiortemporal Volume From Qdec aparc						1		1			1	1		1		1			1	1
Left Insula Volume From Qdec aparc						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Frontomargin Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Occipital Inferior Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Paracentral Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Subcentral Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Transv Frontopol Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Ant Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Mid-Ant Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Mid-Post Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cingul-Post-dorsal Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cingul-Post-ventral Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cuneus Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Inf-Opercular Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Inf-Orbital Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Inf-Triangul Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Middle Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Sup Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Ins Lg And Sulcus Cent Ins Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Insular Short Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Occipital Middle Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Occipital Sup Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Oc-temp Lat-fusifor Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Oc-temp Med-Lingual Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Oc-temp Med-Parahip Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Orbital Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Pariet Inf-Angular Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Pariet Inf-Supramar Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Parietal Sup Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Postcentral Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Precentral Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Precuneus Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Rectus Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Subcallosal Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-G T Transv Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-Lateral Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-Plan Polar Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-Plan Tempo Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temporal Inferior Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temporal Middle Area From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-ant-Horizont Area From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-ant-Vertical Area From Qdec						1		1			1	1		1		1			1	1
Right Lat Fis-post Area From Qdec						1		1			1	1		1		1			1	1
Right Pole Occipital Area From Qdec						1		1			1	1		1		1			1	1
Right Pole Temporal Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Calcarine Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Central Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Cingul-Marginalis Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Anterior Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Inferior Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Circular Insula Sup Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Collat Transv Anterior Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Collat Transv Posterior Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Frontal Inferior Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Frontal Middle Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Frontal Sup Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Interm Prim-Jensen Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Intrapariet And P Trans Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc Middle And Lunatus Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc Sup And Transversal Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Occipital Anterior Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc-temp Lat Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Oc-temp Med And Lingual Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Orbital Lateral Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Orbital Med-olfact Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Orbital-H Shaped Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Parieto Occipital Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Pericallosal Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Postcentral Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Precentral-inf-part Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Precentral-sup-part Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Suborbital Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Subparietal Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Temporal Inferior Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Temporal Sup Area From Qdec						1		1			1	1		1		1			1	1
Right Sulcus Temporal Transverse Area From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Frontomargin Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Occipital Inferior Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Paracentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Subcentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Transv Frontopol Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Ant Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Mid-Ant Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus And Sulcus Cingul-Mid-Post Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cingul-Post-dorsal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cingul-Post-ventral Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Cuneus Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Frontal Inf-Opercular Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Frontal Inf-Orbital Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Frontal Inf-Triangul Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Frontal Middle Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Frontal Sup Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Ins Lg And Sulcus Cent Ins Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Insular Short Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Occipital Middle Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Occipital Sup Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Oc-temp Lat-fusifor Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Oc-temp Med-Lingual Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Oc-temp Med-Parahip Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Orbital Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Pariet Inf-Angular Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Pariet Inf-Supramar Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Parietal Sup Meancurv From Qdec						1		1			1			1		1			1	1
Right Gyrus Postcentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Precentral Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Precuneus Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Rectus Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Subcallosal Meancurv From Qdec						1		1			1	1		1		1			1	1
Right Gyrus Temp Sup-G T Transv Meancurv From Qdec						1		1			1	1		1		1			1	1
