,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,291.77,38.99,399.68
EPAD,315.86,43.18,431.1
PREVENT-AD,593.73,85.14,549.98
NACC_ELISA,263.84,104.45,774.45
EMIF_ELISA,203.0,93.92,673.6
NACC_XMAP,3.7,70.49,89.1
EMIF_XMAP,308.34,49.62,116.07
DOD-ADNI,341.73,32.0,346.77
JADNI,191.81,66.91,134.08
