,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,254.09,41.56,416.76
EPAD,352.86,43.26,438.21
PREVENT-AD,446.62,107.47,769.25
NACC_ELISA,338.38,89.98,644.33
EMIF_ELISA,160.67,101.09,786.45
NACC_XMAP,-10.93,70.98,92.04
EMIF_XMAP,189.68,43.33,104.37
DOD-ADNI,367.4,31.77,376.31
JADNI,187.02,67.31,129.94
