,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,287.58,40.52,406.72
EPAD,305.0,43.52,433.03
PREVENT-AD,489.81,97.08,664.22
NACC_ELISA,264.81,78.48,747.75
EMIF_ELISA,142.33,92.93,660.7
NACC_XMAP,18.55,73.99,101.54
EMIF_XMAP,269.12,55.15,114.36
DOD-ADNI,295.58,39.67,411.77
JADNI,227.74,70.97,135.89
