,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,328.08,40.22,408.0
EPAD,338.22,45.44,457.45
PREVENT-AD,648.36,84.39,532.5
NACC_ELISA,281.39,83.69,708.22
EMIF_ELISA,176.63,85.28,513.15
NACC_XMAP,24.12,85.88,114.04
EMIF_XMAP,276.05,47.9,122.24
DOD-ADNI,212.56,33.39,368.07
JADNI,216.83,51.01,99.75
