,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,265.0,129.0,3.0,6.0,42.0,174.0,0.0,398.0
EPAD,603.0,168.0,22.0,7.0,24.0,186.0,3.0,224.0
PREVENT-AD,53.0,34.0,4.0,5.0,0.0,24.0,1.0,12.0
NACC,106.0,59.0,21.0,24.0,10.0,85.0,55.0,146.0
EMIF,216.0,241.0,52.0,41.0,22.0,115.0,32.0,295.0
DOD-ADNI,52.0,32.0,2.0,2.0,0.0,15.0,1.0,9.0
JADNI,27.0,19.0,11.0,0.0,12.0,15.0,8.0,105.0
