,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,290.0,164.0,1.0,9.0,43.0,151.0,0.0,359.0
EPAD,614.0,192.0,24.0,9.0,16.0,151.0,5.0,226.0
PREVENT-AD,54.0,28.0,5.0,4.0,1.0,28.0,3.0,10.0
NACC,105.0,54.0,16.0,27.0,14.0,97.0,49.0,144.0
EMIF,181.0,230.0,65.0,28.0,8.0,123.0,54.0,325.0
DOD-ADNI,38.0,29.0,0.0,1.0,2.0,30.0,2.0,11.0
JADNI,30.0,20.0,9.0,3.0,10.0,14.0,7.0,104.0
