,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,236.0,171.0,18.0,0.0,13.0,139.0,5.0,435.0
EPAD,620.0,174.0,26.0,5.0,22.0,164.0,5.0,221.0
PREVENT-AD,57.0,24.0,2.0,5.0,0.0,33.0,2.0,10.0
NACC,112.0,60.0,17.0,25.0,13.0,88.0,48.0,143.0
EMIF,187.0,251.0,51.0,35.0,16.0,113.0,32.0,329.0
DOD-ADNI,47.0,23.0,2.0,1.0,2.0,28.0,2.0,8.0
JADNI,29.0,30.0,10.0,4.0,8.0,8.0,5.0,103.0
