,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,264.0,133.0,3.0,9.0,46.0,169.0,0.0,393.0
EPAD,631.0,169.0,23.0,6.0,26.0,161.0,6.0,215.0
PREVENT-AD,67.0,25.0,2.0,5.0,0.0,23.0,2.0,9.0
NACC,115.0,54.0,19.0,22.0,12.0,86.0,53.0,145.0
EMIF,195.0,198.0,68.0,26.0,8.0,129.0,53.0,337.0
DOD-ADNI,49.0,25.0,3.0,2.0,4.0,22.0,1.0,7.0
JADNI,32.0,10.0,7.0,5.0,18.0,19.0,8.0,98.0
