,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,243.0,181.0,19.0,0.0,11.0,129.0,8.0,426.0
EPAD,630.0,163.0,23.0,1.0,24.0,174.0,6.0,216.0
PREVENT-AD,58.0,29.0,3.0,7.0,0.0,24.0,0.0,12.0
NACC,126.0,54.0,19.0,27.0,11.0,81.0,51.0,137.0
EMIF,208.0,191.0,47.0,37.0,18.0,139.0,40.0,334.0
DOD-ADNI,33.0,34.0,3.0,3.0,3.0,22.0,0.0,15.0
JADNI,37.0,30.0,14.0,4.0,7.0,9.0,6.0,90.0
