,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,284.0,159.0,2.0,11.0,45.0,150.0,0.0,366.0
EPAD,600.0,170.0,25.0,9.0,24.0,179.0,2.0,228.0
PREVENT-AD,60.0,28.0,4.0,2.0,0.0,27.0,2.0,10.0
NACC,123.0,54.0,22.0,19.0,9.0,86.0,58.0,135.0
EMIF,221.0,155.0,70.0,30.0,15.0,155.0,89.0,279.0
DOD-ADNI,36.0,29.0,1.0,2.0,1.0,30.0,0.0,14.0
JADNI,31.0,29.0,5.0,7.0,13.0,9.0,3.0,100.0
