,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,239.0,147.0,28.0,0.0,7.0,151.0,10.0,435.0
EPAD,653.0,177.0,19.0,2.0,27.0,156.0,6.0,197.0
PREVENT-AD,47.0,35.0,4.0,3.0,1.0,29.0,2.0,12.0
NACC,116.0,53.0,20.0,20.0,11.0,90.0,53.0,143.0
EMIF,170.0,263.0,51.0,29.0,11.0,102.0,41.0,347.0
DOD-ADNI,39.0,29.0,0.0,2.0,2.0,28.0,0.0,13.0
JADNI,27.0,26.0,6.0,2.0,13.0,12.0,5.0,106.0
