,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,283.0,134.0,11.0,0.0,23.0,192.0,7.0,367.0
EPAD,601.0,174.0,30.0,6.0,18.0,171.0,3.0,234.0
PREVENT-AD,50.0,28.0,3.0,6.0,1.0,32.0,0.0,13.0
NACC,123.0,66.0,17.0,26.0,14.0,75.0,47.0,138.0
EMIF,194.0,240.0,62.0,28.0,9.0,102.0,54.0,325.0
DOD-ADNI,46.0,27.0,1.0,1.0,3.0,24.0,2.0,9.0
JADNI,38.0,27.0,10.0,4.0,9.0,11.0,7.0,91.0
