,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,236.0,147.0,25.0,0.0,12.0,151.0,7.0,439.0
EPAD,612.0,167.0,29.0,4.0,22.0,173.0,7.0,223.0
PREVENT-AD,41.0,25.0,2.0,4.0,0.0,48.0,2.0,11.0
NACC,115.0,53.0,17.0,21.0,11.0,96.0,55.0,138.0
EMIF,229.0,174.0,75.0,31.0,15.0,139.0,50.0,301.0
DOD-ADNI,44.0,26.0,1.0,2.0,4.0,26.0,2.0,8.0
JADNI,31.0,16.0,10.0,1.0,10.0,17.0,10.0,102.0
