,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,110.0,2.0,6.0,44.0,183.0,0.0,414.0
EPAD,585.0,184.0,20.0,11.0,19.0,179.0,2.0,237.0
PREVENT-AD,53.0,30.0,3.0,9.0,0.0,25.0,1.0,12.0
NACC,108.0,60.0,16.0,27.0,15.0,86.0,47.0,147.0
EMIF,175.0,262.0,60.0,31.0,13.0,113.0,37.0,323.0
DOD-ADNI,49.0,28.0,1.0,0.0,3.0,22.0,2.0,8.0
JADNI,31.0,19.0,8.0,1.0,12.0,15.0,9.0,102.0
