,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,245.0,183.0,18.0,0.0,13.0,130.0,5.0,423.0
EPAD,642.0,180.0,22.0,5.0,25.0,153.0,6.0,204.0
PREVENT-AD,42.0,28.0,3.0,4.0,2.0,41.0,1.0,12.0
NACC,115.0,63.0,23.0,22.0,9.0,79.0,53.0,142.0
EMIF,232.0,190.0,68.0,33.0,15.0,128.0,38.0,310.0
DOD-ADNI,51.0,31.0,2.0,2.0,1.0,16.0,2.0,8.0
JADNI,32.0,18.0,10.0,2.0,10.0,15.0,9.0,101.0
