,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,269.0,139.0,3.0,9.0,46.0,164.0,0.0,387.0
EPAD,623.0,173.0,27.0,5.0,22.0,161.0,5.0,221.0
PREVENT-AD,43.0,34.0,1.0,6.0,3.0,32.0,0.0,14.0
NACC,115.0,59.0,24.0,19.0,7.0,81.0,55.0,146.0
EMIF,221.0,248.0,58.0,32.0,9.0,102.0,36.0,308.0
DOD-ADNI,48.0,23.0,3.0,1.0,2.0,26.0,2.0,8.0
JADNI,26.0,23.0,7.0,2.0,13.0,13.0,6.0,107.0
