,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,221.0,132.0,22.0,0.0,13.0,154.0,5.0,470.0
EPAD,606.0,162.0,20.0,2.0,24.0,198.0,6.0,219.0
PREVENT-AD,49.0,33.0,3.0,5.0,1.0,29.0,1.0,12.0
NACC,100.0,52.0,19.0,23.0,13.0,97.0,60.0,142.0
EMIF,227.0,193.0,73.0,34.0,11.0,124.0,51.0,301.0
DOD-ADNI,38.0,31.0,0.0,2.0,2.0,26.0,0.0,14.0
JADNI,31.0,16.0,9.0,2.0,12.0,15.0,9.0,103.0
