,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,273.0,132.0,15.0,0.0,18.0,184.0,13.0,382.0
EPAD,634.0,169.0,24.0,4.0,25.0,160.0,6.0,215.0
PREVENT-AD,46.0,29.0,3.0,8.0,2.0,31.0,1.0,13.0
NACC,123.0,54.0,20.0,24.0,13.0,79.0,52.0,141.0
EMIF,225.0,224.0,53.0,35.0,13.0,110.0,41.0,313.0
DOD-ADNI,32.0,25.0,0.0,3.0,4.0,37.0,2.0,10.0
JADNI,31.0,28.0,6.0,3.0,12.0,11.0,4.0,102.0
