,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,234.0,144.0,25.0,0.0,11.0,153.0,7.0,443.0
EPAD,614.0,165.0,25.0,6.0,24.0,176.0,5.0,222.0
PREVENT-AD,52.0,30.0,5.0,1.0,1.0,31.0,3.0,10.0
NACC,106.0,49.0,25.0,21.0,9.0,93.0,63.0,140.0
EMIF,190.0,201.0,54.0,33.0,15.0,134.0,49.0,338.0
DOD-ADNI,42.0,29.0,0.0,1.0,2.0,27.0,1.0,11.0
JADNI,30.0,24.0,14.0,2.0,10.0,12.0,7.0,98.0
