,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,239.0,173.0,22.0,0.0,13.0,136.0,5.0,429.0
EPAD,642.0,173.0,25.0,1.0,20.0,164.0,7.0,205.0
PREVENT-AD,58.0,32.0,5.0,4.0,0.0,23.0,1.0,10.0
NACC,107.0,57.0,20.0,23.0,11.0,92.0,53.0,143.0
EMIF,193.0,194.0,69.0,24.0,9.0,127.0,59.0,339.0
DOD-ADNI,32.0,42.0,3.0,1.0,1.0,18.0,0.0,16.0
JADNI,29.0,15.0,8.0,0.0,13.0,17.0,9.0,106.0
