,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,253.0,176.0,26.0,0.0,12.0,134.0,6.0,410.0
EPAD,600.0,169.0,26.0,6.0,22.0,184.0,5.0,225.0
PREVENT-AD,56.0,20.0,4.0,5.0,0.0,36.0,1.0,11.0
NACC,110.0,57.0,19.0,21.0,10.0,90.0,60.0,139.0
EMIF,211.0,186.0,88.0,19.0,6.0,126.0,68.0,310.0
DOD-ADNI,37.0,29.0,0.0,2.0,2.0,30.0,0.0,13.0
JADNI,32.0,24.0,9.0,3.0,11.0,13.0,6.0,99.0
