,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,250.0,169.0,26.0,0.0,12.0,137.0,6.0,417.0
EPAD,606.0,168.0,30.0,5.0,20.0,176.0,6.0,226.0
PREVENT-AD,52.0,28.0,4.0,4.0,1.0,32.0,2.0,10.0
NACC,134.0,61.0,20.0,21.0,12.0,67.0,51.0,140.0
EMIF,220.0,188.0,74.0,25.0,12.0,124.0,62.0,309.0
DOD-ADNI,39.0,31.0,0.0,2.0,2.0,25.0,0.0,14.0
JADNI,32.0,17.0,8.0,2.0,12.0,15.0,9.0,102.0
