,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,232.0,161.0,19.0,0.0,13.0,136.0,7.0,449.0
EPAD,614.0,170.0,25.0,6.0,23.0,171.0,3.0,225.0
PREVENT-AD,48.0,28.0,4.0,6.0,1.0,33.0,0.0,13.0
NACC,108.0,66.0,25.0,23.0,11.0,77.0,52.0,144.0
EMIF,199.0,192.0,76.0,26.0,9.0,129.0,60.0,323.0
DOD-ADNI,45.0,33.0,4.0,2.0,0.0,18.0,1.0,10.0
JADNI,37.0,19.0,20.0,1.0,8.0,11.0,8.0,93.0
