,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,258.0,182.0,27.0,0.0,11.0,129.0,6.0,404.0
EPAD,629.0,163.0,18.0,3.0,25.0,177.0,6.0,216.0
PREVENT-AD,61.0,23.0,3.0,4.0,0.0,31.0,1.0,10.0
NACC,113.0,61.0,18.0,24.0,12.0,86.0,49.0,143.0
EMIF,210.0,211.0,73.0,25.0,8.0,113.0,48.0,326.0
DOD-ADNI,48.0,20.0,1.0,3.0,2.0,30.0,1.0,8.0
JADNI,37.0,28.0,11.0,4.0,10.0,9.0,7.0,91.0
