,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,246.0,166.0,26.0,0.0,11.0,141.0,6.0,421.0
EPAD,611.0,174.0,23.0,10.0,25.0,165.0,2.0,227.0
PREVENT-AD,61.0,24.0,2.0,8.0,0.0,26.0,2.0,10.0
NACC,107.0,51.0,23.0,18.0,8.0,94.0,57.0,148.0
EMIF,209.0,224.0,61.0,33.0,13.0,115.0,47.0,312.0
DOD-ADNI,38.0,23.0,3.0,1.0,2.0,35.0,2.0,9.0
JADNI,32.0,13.0,8.0,3.0,12.0,17.0,9.0,103.0
